,Parameters,HO Group 1 Score,HO Group 2 Score,HO Group 3 Score,Mean CV Score
89,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 100, 'degree': 5}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
90,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 100, 'degree': 10}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
91,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 100, 'degree': 50}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
92,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 1000, 'degree': 2}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
93,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 1000, 'degree': 3}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
94,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 1000, 'degree': 4}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
95,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 1000, 'degree': 5}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
96,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 1000, 'degree': 10}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
97,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 1000, 'degree': 50}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
98,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 10000, 'degree': 2}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
99,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 10000, 'degree': 3}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
100,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 10000, 'degree': 4}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
101,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 10000, 'degree': 5}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
102,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 10000, 'degree': 10}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
103,"{'C': 0.001, 'kernel': 'rbf', 'gamma': 10000, 'degree': 50}",0.1000179996400072,0.09773804523909521,0.10224408976359055,0.10000004488089766
104,"{'C': 0.01, 'kernel': 'rbf', 'gamma': 0.0001, 'degree': 2}",0.2245755084898302,0.22631547369052618,0.234069362774511,0.22832011498495577
105,"{'C': 0.01, 'kernel': 'rbf', 'gamma': 0.0001, 'degree': 3}",0.2373552528949421,0.22259554808903823,0.22764910596423857,0.22919996898273964
106,"{'C': 0.01, 'kernel': 'rbf', 'gamma': 0.0001, 'degree': 4}",0.23069538609227816,0.21821563568728625,0.22296891875675026,0.22395998017877158
107,"{'C': 0.01, 'kernel': 'rbf', 'gamma': 0.0001, 'degree': 5}",0.22811543769124618,0.2243355132897342,0.23358934357374295,0.22868009818490775
108,"{'C': 0.01, 'kernel': 'rbf', 'gamma': 0.0001, 'degree': 10}",0.23363532729345413,0.23525529489410213,0.2373694947797912,0.23542003898911582
109,"{'C': 0.01, 'kernel': 'rbf', 'gamma': 0.0001, 'degree': 50}",0.2260754784904302,0.22121557568848624,0.21960878435137404,0.2222999461767635
110,"{'C': 0.01, 'kernel': 'rbf', 'gamma': 0.001, 'degree': 2}",0.24551508969820604,0.2377152456950861,0.24234969398775952,0.2418600097936839
111,"{'C': 0.01, 'kernel': 'rbf', 'gamma': 0.001, 'degree': 3}",0.24683506329873403,0.23969520609587808,0.2374894995799832,0.24133992299153176
112,"{'C': 0.01, 'kernel': 'rbf', 'gamma': 0.001, 'degree': 4}",0.25583488330233395,0.247915041699166,0.24180967238689546,0.2485198657961318
113,"{'C': 0.01, 'kernel': 'rbf', 'gamma': 0.001, 'degree': 5}",0.24245515089698205,0.24521509569808603,0.24186967478699148,0.24317997379401987
114,"{'C': 0.01, 'kernel': 'rbf', 'gamma': 0.001, 'degree': 10}",0.24113517729645406,0.2389152216955661,0.24012960518420737,0.24006000139207584
115,"{'C': 0.01, 'kernel': 'rbf', 'gamma': 0.001, 'degree': 50}",0.24173516529669406,0.24269514609707807,0.24438977559102365,0.24294002899493194
116,"{'C': 0.01, 'kernel': 'rbf', 'gamma': 0.01, 'degree': 2}",0.1859362812743745,0.1992560148797024,0.1950678027121085,0.19342003295539514
